ticker,company_name,objective_status,debt_ratio,investment_ratio,income_ratio,illiquid_assets_ratio,net_liquid_assets_ratio,share_price,final_shariah_status,source_document,source_period,notes
SNGP,Sui Northern Gas Pipelines Ltd,Compliant,11.18%,0.07%,1.23%,21.46%,(464.49),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Compliant with relaxation over the illiquid-assets / net-liquid-assets screen. Provisional dividend purification rate (subject to final adjustment).
SPAC1,LSE SPAC-I Limited,Compliant,0.00%,0.00%,0.00%,0.00%,6.75,10.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SPCL,Saudi Pak Consultancy Company Ltd,Compliant,161.63%,68.90%,49.87%,25.36%,(5709.56),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SPEL,SPEL Limited,Compliant,6.72%,11.40%,0.79%,73.87%,1.22,54.78,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SPL,Sitara Peroxide Ltd,Compliant,1.56%,0.00%,0.00%,90.35%,(21.39),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SPWL,Saif Power Ltd,Compliant,18.25%,18.67%,6.84%,59.95%,0.35,11.15,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SPSL,Sitara Petroleum Service Limited,Compliant,27.98%,0.00%,0.00%,59.03%,(20.97),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SRR,Signature Residency Reit,Compliant,0.00%,0.00%,0.00%,60.94%,(20.15),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SRVI,Service Industries Ltd,Compliant,36.30%,15.70%,0.17%,60.04%,(877.43),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
SSGC,Sui Southern Gas Co. Ltd,Compliant,10.36%,0.01%,1.25%,22.17%,(273.35),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Compliant with relaxation over the illiquid-assets / net-liquid-assets screen. Provisional dividend purification rate (subject to final adjustment).
SSML,Saritow Spinning Mills Ltd,Compliant,0.00%,0.00%,0.00%,92.78%,(37.84),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SSOM,S.S. Oil Mills Ltd,Compliant,34.89%,0.00%,0.08%,52.82%,31.64,428.44,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
STCL,Shabbir Tiles & Ceramics Ltd,Compliant,10.85%,0.61%,0.07%,78.66%,(21.63),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
STJT,Shahtaj Textile Ltd,Compliant,20.65%,1.17%,0.10%,76.88%,(101.14),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
STL,Supernet Technologies Limited (Supernet Limited),Compliant,0.00%,0.00%,0.00%,99.88%,(1675.63),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
STML,Shams Textile Mills Ltd,Compliant,35.96%,1.93%,0.09%,71.11%,(155.87),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
STPL,Siddiqsons Tin Plate Ltd,Compliant,56.91%,4.61%,0.01%,75.92%,(11.33),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
STYLERS,Stylers International Limited (AEL Textile Limited),Compliant,0.00%,0.00%,0.00%,76.95%,(3.47),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SUHJ,Suhail Jute Mills Limited,Compliant,6.04%,0.00%,0.00%,99.65%,(211.82),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SURC,Suraj Cotton Mills Ltd,Compliant,15.37%,3.86%,0.15%,75.37%,(100.72),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
